set A:= CCGT    Coal    Solar;
set B:= CCGT Coal;
set h:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24;


param FOR:=
    CCGT          0
    Coal          0.2
    Solar         0;
    
param Ki:=
    CCGT    500
    Coal    1000
    Solar   1200;
    
param   demanda:=

1	1275.174
2	1264.652
3	1201.637
4	1145.616
5	1093.041
6	1061.607
7	991.059
8	935.15
9	956.165
10	969.751
11	1034.852
12	1088.931
13	1122.082
14	1150.4
15	1148.223
16	1136.494
17	1136.481
18	1133.377
19	1135.606
20	1141.015
21	1186.394
22	1352.434
23	1426.747
24	1354.71;


param    MCi:=

    CCGT    60
    Coal    30
    Solar   0;
    
    
param    Solar:=


1	0.000
2	0.000
3	0.000
4	0.000
5	0.000
6	0.000
7	0.000
8	0.153
9	0.633
10	0.820
11	0.900
12	0.917
13	0.918
14	0.911
15	0.909
16	0.893
17	0.882
18	0.858
19	0.771
20	0.465
21	0.025
22	0.000
23	0.000
24	0.000;
